What is your name?,What is your gender?,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?,Did you do any certification courses additionally?,"If yes, please specify your certificate course title.",Are you working?,"If yes, then what is/was your first Job title in your current field of work? If not applicable, write NA.","Have you done masters after undergraduation? If yes, mention your field of masters.(Eg; Masters in Mathematics)"
Leni Susanti,Female,B.Sc,Mathematics,"Data Science, Analytics, AI","Data Analysis, Machine Learning, SQL",6.16,Yes,R Programming,No,NA,NA
Vina Melati,Female,Psikologi,Psikologi Pendidikan,"Konseling, Terapi, Kesehatan Mental","Psikotes, Asesmen, SPSS",8.36,No,NA,Yes,Konselor,NA
Ivan Gunawan,Male,Sistem Informasi,E-Business,"IT Project Management, Konsultasi","Python, Tableau, Power BI, SQL",6.09,No,NA,No,NA,Masters in Information Systems
Julia Permata,Male,Sistem Informasi,E-Business,"IT Project Management, Konsultasi","SQL, SAP, Business Analysis, Excel",9.05,No,NA,No,NA,Masters in Information Systems
Reza Mahendra,Female,Psikologi,Psikologi Industri,"Penelitian, Asesmen, Psikometri","Konseling, Wawancara, Empati",9.32,Yes,Konselor Profesional,No,NA,NA
Krisna Bayu,Male,Hubungan Internasional,Politik Internasional,"Diplomasi, Politik Luar Negeri, Negosiasi","Komunikasi, Presentasi, Diplomasi",9.08,Yes,Sertifikasi Diplomat,Yes,Analis Politik,MA Diplomasi
Nina Kusuma,Female,Manajemen,Manajemen Bisnis,"Bisnis, Pemasaran, Strategi","MS Excel, Business Analysis, PowerPoint",7.66,No,,Yes,HR Manager,Masters in Management
Zara Nabila,Female,B.Tech,Computer Science,"Software Engineering, Cloud, DevOps","TensorFlow, PyTorch, Machine Learning",9.54,No,,No,NA,
Petra Wijaya,Male,Desain Komunikasi Visual,Ilustrasi,"Animasi, Motion Graphics, Video","Figma, Adobe XD, Sketch, Prototyping",6.96,No,NA,No,NA,NA
Eko Wahyudi,Male,Kelautan,Konservasi Sumber Daya Laut,"Teknologi Kelautan, Survei, Remote Sensing","Penelitian, Lab, Sampling, Analisis Data",8.06,Yes,PADI Dive Master,No,NA,NA
Reza Mahendra,Female,Ilmu Komunikasi,Komunikasi Digital,"Jurnalistik, Media, Penulisan Berita","Penulisan, Editing, Wawancara",8.94,Yes,NA,No,NA,NA
Shinta Dewi,Female,Psikologi,Psikologi Sosial,"HR, Rekrutmen, Pengembangan SDM","HR Management, Rekrutmen, Training",7.72,No,NA,Yes,Konselor,NA
Hana Sari,Male,BCA,Software Development,"Programming, Web Development, Software","C++, Data Structures, Algorithms",8.48,Yes,Python Certification,No,NA,NA
Wahyu Nugroho,Male,BCA,Computer Applications,"Data Science, AI, Machine Learning","Python, Java, SQL",7.89,Yes,AWS Cloud Practitioner,No,NA,NA
Gilang Ramadhan,Female,BA,Sociology,"Psychology, Counseling, HR","Public Speaking, Leadership, Teamwork",5.71,No,NA,Yes,Content Writer,NA
Hesti Ratnasari,Female,Kedokteran,Kedokteran Gigi,"Klinik, Pasien, Diagnosis","Tindakan Medis, Jahit Luka, Infus",9.67,No,NA,No,NA,NA
Qori Annisa,Male,Teknik Elektro,Elektronika,"Tenaga Listrik, Energi Terbarukan","AutoCAD Electrical, ETAP, MATLAB",7.61,No,NA,No,NA,NA
Yogi Permana,Female,Kedokteran,Kedokteran Gigi,"Klinik, Pasien, Diagnosis","Penelitian, Statistik Medis, SPSS",9.34,Yes,Sertifikasi Spesialis,Yes,Dokter Spesialis,NA
Omar Hakim,Male,BA,Political Science,"Psychology, Counseling, HR","Public Speaking, Leadership, Teamwork",6.57,Yes,NA,No,,NA
Bella Safira,Male,Peternakan,Nutrisi Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Manajemen Ternak, Kesehatan Hewan, Vaksinasi",6.52,Yes,Halal Auditor,No,NA,NA
Ulfa Nuraini,Male,Perkapalan,Teknik Sistem Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","AutoCAD, Maxsurf, Ship Design",6.29,No,NA,Yes,Naval Architect,NA
Ivan Gunawan,Female,Hukum,Hukum Perdata,"Litigasi, Advokasi, Peradilan","MS Word, Legal Research, Presentasi",6.05,No,NA,No,NA,NA
Lisa Amelia,Female,B.Sc,Computer Science,"Research, Mathematics, Statistics","Data Analysis, Machine Learning, SQL",7.65,No,,No,NA,NA
Nina Kusuma,Female,BCA,Computer Applications,"Cybersecurity, Networking, Cloud","JavaScript, HTML, CSS, React",7.63,No,NA,No,NA,NA
Omar Hakim,Male,Teknik Industri,Sistem Industri,"Supply Chain, Logistik, Operasional","Analisis Data, Minitab, SPSS",6.63,Yes,Lean Six Sigma Green Belt,Yes,Process Engineer,NA
Dian Rahayu,Male,Hukum,Hukum Internasional,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",8.22,No,NA,No,NA,NA
Hana Sari,Male,B.Sc,Physics,"Research, Mathematics, Statistics","Research, Lab Skills, Report Writing",9.64,No,NA,No,NA,NA
Qirana Putri,Female,Psikologi,Psikologi Industri,"HR, Rekrutmen, Pengembangan SDM","Konseling, Wawancara, Empati",6.6,No,NA,Yes,,NA
Miko Prasetyo,Female,B.Sc,Physics,"Research, Mathematics, Statistics","Data Analysis, Machine Learning, SQL",7.22,Yes,Data Science Certification,No,NA,Masters in Mathematics
Oscar Firmansyah,Female,Hubungan Internasional,Studi Keamanan,"Organisasi Internasional, PBB, NGO","Bahasa Inggris, Bahasa Asing, Negosiasi",6.61,Yes,TOEFL 600+,No,NA,NA
Wahyu Nugroho,Male,Teknik Elektro,Telekomunikasi,"Tenaga Listrik, Energi Terbarukan","AutoCAD Electrical, ETAP, MATLAB",9.48,No,NA,No,NA,NA
Xena Pratiwi,Male,Farmasi,Bioteknologi Farmasi,"Penelitian, Farmakologi, Drug Discovery","Penelitian, Laboratorium, Analisis",7.22,Yes,,No,NA,Masters in Pharmacy
Qori Annisa,Female,Peternakan,Kesehatan Ternak,Teknologi Pengolahan Hasil Ternak,"Pengolahan Daging, Susu, Telur",7.75,Yes,NA,Yes,Quality Control Produk Ternak,NA
Reza Mahendra,Female,B.Tech,Information Technology,"AI, Machine Learning, Deep Learning","TensorFlow, PyTorch, Machine Learning",6.91,Yes,,No,NA,Masters in Engineering
Leni Susanti,Female,Psikologi,Psikologi Industri,"Penelitian, Asesmen, Psikometri","Konseling, Wawancara, Empati",7.26,Yes,,Yes,Career Counselor,NA
Nina Kusuma,Male,Ekonomi Pembangunan,Ekonomi Moneter,"Perdagangan Internasional, Ekspor Impor","MS Excel, Statistik, Data Analysis",7.95,Yes,,Yes,Ekonom,Masters in Economics
Eko Wahyudi,Female,B.Com,Business Studies,"Marketing, Sales, Business","MS Excel, PowerPoint, Business Analysis",6.4,Yes,NA,No,NA,Masters in Finance
Fitri Handayani,Female,Sistem Informasi,Sistem Informasi Bisnis,"IT Project Management, Konsultasi","SQL, SAP, Business Analysis, Excel",9.32,No,NA,No,NA,Masters in Information Systems
Agus Salim,Male,Hukum,Hukum Pidana,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",7.39,No,NA,Yes,Pengacara,Masters in Law
Zara Nabila,Male,Perkapalan,Teknik Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","Solidworks, ANSYS, Analisis Struktur",9.49,No,,No,NA,Magister Teknik Perkapalan
Yoga Aditya,Female,Peternakan,Teknologi Hasil Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Manajemen Ternak, Kesehatan Hewan, Vaksinasi",6.04,No,NA,No,NA,NA
Sari Indah,Male,Psikologi,Psikologi Sosial,"Penelitian, Asesmen, Psikometri","Psikotes, Asesmen, SPSS",6.82,No,NA,No,NA,Magister Psikologi
Jeni Kurniawan,Male,Teknik Elektro,Telekomunikasi,"Telekomunikasi, Jaringan, RF","Arduino, Raspberry Pi, C++, IoT",7.44,No,NA,Yes,Telecom Engineer,NA
Jeni Kurniawan,Male,Farmasi,Bioteknologi Farmasi,"Penelitian, Farmakologi, Drug Discovery","Penelitian, Laboratorium, Analisis",8.68,No,NA,Yes,Medical Representative,Masters in Pharmacology
Krisna Bayu,Female,B.Sc,Computer Science,"Research, Mathematics, Statistics","Research, Lab Skills, Report Writing",8.2,Yes,Data Science Certification,Yes,Research Analyst,NA
Hesti Ratnasari,Male,Pertanian,Hortikultura,"Pertanian, Budidaya, Agronomi","Agribisnis, Manajemen Usaha Tani",9.42,Yes,Smart Farming Cert,Yes,Agronomis,NA
Dita Maharani,Female,B.Tech,Mechanical,"AI, Machine Learning, Deep Learning","AWS, Docker, Kubernetes, DevOps",6.35,Yes,NA,No,NA,
Petra Wijaya,Male,Peternakan,Teknologi Hasil Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Pengolahan Daging, Susu, Telur",8.42,No,NA,Yes,Penyuluh Peternakan,NA
Galih Purnomo,Male,Desain Komunikasi Visual,Animasi,"Desain Grafis, Branding, Visual","After Effects, Premiere Pro, Animasi",9.09,No,NA,No,NA,NA
Sari Indah,Female,Peternakan,Kesehatan Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Formulasi Pakan, Nutrisi, Lab",7.48,Yes,Sertifikasi Penyuluh Peternakan,Yes,,NA
Dian Rahayu,Male,Kelautan,Teknologi Kelautan,"Oseanografi, Penelitian Laut, Ekspedisi","Penelitian, Lab, Sampling, Analisis Data",9.23,No,NA,No,NA,NA
Lisa Amelia,Male,Sastra Inggris,Penerjemahan,"Penulisan, Sastra, Kreatif","Mengajar, Kurikulum, TOEFL",6.02,Yes,NA,Yes,Guru Bahasa Inggris,NA
Eko Wahyudi,Female,Teknik Elektro,Telekomunikasi,"Elektronika, Embedded Systems, IoT","AutoCAD Electrical, ETAP, MATLAB",6.25,No,NA,Yes,,NA
Gilang Ramadhan,Male,Ilmu Komunikasi,Periklanan,"Jurnalistik, Media, Penulisan Berita","Public Speaking, Media Relations, Canva",6.28,Yes,Content Writing,Yes,,
Leni Susanti,Female,Teknik Elektro,Elektronika,"Elektronika, Embedded Systems, IoT","AutoCAD Electrical, ETAP, MATLAB",6.97,Yes,PLC Siemens,No,NA,NA
Dita Maharani,Female,Pendidikan,Bimbingan Konseling,"Teknologi Pendidikan, E-Learning","E-Learning, LMS, Canva, Presentasi",7.18,No,NA,No,NA,M.Pd
Fitri Handayani,Male,Kelautan,Teknologi Kelautan,"Oseanografi, Penelitian Laut, Ekspedisi","Remote Sensing, Citra Satelit, Analisis",8.92,Yes,GIS Certification,Yes,Oseanografer,NA
Nita Anggraini,Female,Peternakan,Nutrisi Ternak,Teknologi Pengolahan Hasil Ternak,"Manajemen Ternak, Kesehatan Hewan, Vaksinasi",6.23,No,NA,Yes,Quality Control Produk Ternak,NA
Julia Permata,Female,Desain Komunikasi Visual,Fotografi,"Desain Grafis, Branding, Visual","Figma, Adobe XD, Sketch, Prototyping",9.02,No,NA,Yes,Creative Director,NA
Taufik Hidayat,Male,Hukum,HTN,"Hukum Bisnis, Kontrak, Korporasi","Legal Drafting, Analisis Hukum, Riset",7.08,Yes,NA,No,NA,NA
Cahyo Wibowo,Female,BCA,Information Technology,"Cybersecurity, Networking, Cloud","Python, Java, SQL",7.8,No,,No,NA,NA
Lisa Amelia,Male,Ekonomi Pembangunan,Ekonomi Moneter,"Perdagangan Internasional, Ekspor Impor","Kebijakan Publik, Riset, Laporan",9.16,No,NA,Yes,Ekonom,
Gilang Ramadhan,Male,Hubungan Internasional,Diplomasi,"Diplomasi, Politik Luar Negeri, Negosiasi","Bahasa Inggris, Bahasa Asing, Negosiasi",7.93,No,NA,Yes,Staf NGO Internasional,MA Diplomasi
Yoga Aditya,Male,Peternakan,Nutrisi Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Pengolahan Daging, Susu, Telur",6.08,No,NA,Yes,,NA
Fitri Handayani,Male,B.Com,Commerce,"Marketing, Sales, Business","MS Excel, PowerPoint, Business Analysis",8.75,No,NA,Yes,Accountant,
Hana Sari,Female,Desain Komunikasi Visual,Ilustrasi,"Animasi, Motion Graphics, Video","Adobe Illustrator, Photoshop, InDesign",9.17,No,NA,No,NA,
Citra Dewi,Female,Kedokteran,Kedokteran Umum,"Penelitian Medis, Farmakologi","Penelitian, Statistik Medis, SPSS",7.55,Yes,Sertifikasi Spesialis,Yes,Dokter Gigi,NA
Dian Rahayu,Male,B.Sc,Computer Science,"Data Science, Analytics, AI","Research, Lab Skills, Report Writing",8.3,No,NA,Yes,Research Analyst,
Bella Safira,Male,Akuntansi,Perpajakan,"Akuntansi, Perpajakan, Keuangan","SAP, Accurate, Jurnal Akuntansi",7.95,Yes,CPA,No,NA,Magister Akuntansi
Krisna Bayu,Female,Peternakan,Nutrisi Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Formulasi Pakan, Nutrisi, Lab",7.32,Yes,Sertifikasi Penyuluh Peternakan,No,NA,NA
Krisna Bayu,Female,Sistem Informasi,Sistem Informasi Bisnis,"Sistem Informasi, ERP, Business Analysis","PHP, MySQL, Web Development",7.43,No,,No,NA,NA
Galih Purnomo,Female,Sastra Inggris,Sastra,"Penulisan, Sastra, Kreatif","Penerjemahan, Bahasa Inggris, Riset",8.32,No,NA,No,,NA
Yoga Aditya,Male,Ilmu Komunikasi,Periklanan,"Public Relations, Branding, Komunikasi","Penulisan, Editing, Wawancara",6.76,No,NA,Yes,Jurnalis,NA
Lisa Amelia,Female,Sistem Informasi,Sistem Informasi Bisnis,"Database, Data Management, BI","PHP, MySQL, Web Development",6.94,Yes,PMP,Yes,,
Krisna Bayu,Male,BCA,Software Development,"Data Science, AI, Machine Learning","C++, Data Structures, Algorithms",6.65,Yes,Python Certification,No,NA,NA
Yoga Aditya,Female,B.Sc,Computer Science,"Research, Mathematics, Statistics","Python, R, MATLAB, Statistics",8.28,Yes,MATLAB Certification,No,NA,NA
Cahyo Wibowo,Female,Farmasi,Farmasi Industri,"Farmasi Klinis, Obat, Pasien","Compounding, Dispensing, Farmakologi",8.46,No,,No,NA,NA
Lisa Amelia,Male,Peternakan,Nutrisi Ternak,"Nutrisi, Pakan Ternak, Formulasi","Formulasi Pakan, Nutrisi, Lab",7.2,Yes,Sertifikasi Penyuluh Peternakan,No,NA,NA
Andi Pratama,Female,BA,English,"Writing, Communication, Media","MS Office, Content Writing, SEO",8.61,Yes,Content Writing Certification,Yes,HR Executive,NA
Ulfah Rahmawati,Male,Hubungan Internasional,Diplomasi,"Organisasi Internasional, PBB, NGO","Komunikasi, Presentasi, Diplomasi",8.94,No,,Yes,Staf Kedutaan,NA
Xena Pratiwi,Female,Farmasi,Farmasi Klinis,"Penelitian, Farmakologi, Drug Discovery","Penelitian, Laboratorium, Analisis",9.41,No,NA,No,NA,Masters in Pharmacy
Yogi Permana,Female,Perkapalan,Sistem Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","Marine Engineering, Pemeliharaan Kapal",8.83,Yes,Sertifikasi IMO,No,NA,NA
Dian Rahayu,Male,Kedokteran,Kedokteran Gigi,"Klinik, Pasien, Diagnosis","Penelitian, Statistik Medis, SPSS",9.19,Yes,STR Dokter,Yes,Dokter Spesialis,NA
Irfan Maulana,Male,Psikologi,Psikologi Klinis,"HR, Rekrutmen, Pengembangan SDM","Konseling, Wawancara, Empati",7.39,No,NA,No,NA,Masters in Counseling
Agus Salim,Female,B.Sc,Electronics,"Physics, Research, Innovation","Research, Lab Skills, Report Writing",6.73,Yes,R Programming,Yes,Research Analyst,Masters in Physics
Oscar Firmansyah,Male,BA,Psychology,"Public Policy, Law, Governance","MS Office, Content Writing, SEO",7.34,Yes,Content Writing Certification,Yes,Social Worker,MA English
Vina Melati,Male,Teknik Elektro,Kontrol dan Instrumentasi,"Tenaga Listrik, Energi Terbarukan","AutoCAD Electrical, ETAP, MATLAB",6.75,Yes,PLC Siemens,Yes,Telecom Engineer,NA
Ivan Gunawan,Male,Hubungan Internasional,Studi Keamanan,"Diplomasi, Politik Luar Negeri, Negosiasi","Komunikasi, Presentasi, Diplomasi",6.57,Yes,TOEFL 600+,No,NA,
Leni Susanti,Male,Manajemen,Manajemen Bisnis,"Bisnis, Pemasaran, Strategi","Marketing, Branding, Social Media",6.87,No,NA,Yes,Product Manager,
Hana Sari,Female,Akuntansi,Audit,"Akuntansi, Perpajakan, Keuangan","Perpajakan, e-SPT, Brevet",6.2,No,NA,No,NA,NA
Citra Dewi,Female,Perkapalan,Sistem Perkapalan,"Offshore, Migas, Industri Maritim","Solidworks, ANSYS, Analisis Struktur",9.44,Yes,,No,NA,NA
Taufik Hidayat,Male,Hukum,Hukum Internasional,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",9.33,No,NA,Yes,Legal Officer,NA
Dita Maharani,Male,Manajemen,Manajemen Pemasaran,"Bisnis, Pemasaran, Strategi","Marketing, Branding, Social Media",6.47,Yes,PMP Certification,No,NA,MM Keuangan
Vina Melati,Female,Kelautan,Konservasi Sumber Daya Laut,"Teknologi Kelautan, Survei, Remote Sensing","Diving, Survei Laut, GIS, QGIS",6.37,Yes,,Yes,Konservasi Spesialis,NA
Fitri Handayani,Female,Perikanan,Teknologi Hasil Perikanan,"Budidaya Ikan, Akuakultur, Tambak","Budidaya Ikan, Kualitas Air, Pakan",7.9,Yes,Sertifikasi Akuakultur,No,NA,NA
Xena Pratiwi,Male,BCA,Computer Applications,"Programming, Web Development, Software","JavaScript, HTML, CSS, React",9.63,Yes,AWS Cloud Practitioner,Yes,Software Developer,NA
Ulfah Rahmawati,Female,Teknik Industri,Sistem Industri,"Supply Chain, Logistik, Operasional","Analisis Data, Minitab, SPSS",7.41,No,NA,No,NA,NA
Reza Mahendra,Female,Kelautan,Oseanografi,"Konservasi Laut, Ekosistem, Terumbu Karang","Diving, Survei Laut, GIS, QGIS",7.57,No,NA,No,NA,NA
Eko Wahyudi,Female,Sistem Informasi,Manajemen Sistem Informasi,"Database, Data Management, BI","SQL, SAP, Business Analysis, Excel",6.29,No,,No,NA,
Nita Anggraini,Female,Desain Komunikasi Visual,Fotografi,"Desain Grafis, Branding, Visual","Figma, Adobe XD, Sketch, Prototyping",6.65,No,NA,Yes,Motion Designer,NA
Hana Sari,Male,Manajemen,Manajemen Bisnis,"Keuangan, Investasi, Bisnis","Marketing, Branding, Social Media",6.48,No,,Yes,HR Manager,
Qori Annisa,Male,Peternakan,Nutrisi Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Formulasi Pakan, Nutrisi, Lab",8.78,No,NA,No,NA,NA
Oscar Firmansyah,Female,Teknik Elektro,Tenaga Listrik,"Elektronika, Embedded Systems, IoT","PLC, SCADA, Otomasi, Siemens",9.43,Yes,Sertifikasi BNSP Elektro,No,NA,NA
Ulfah Rahmawati,Female,Teknik Industri,Teknik Produksi,"Quality Control, Six Sigma, Kaizen","MS Project, ERP, SAP",7.15,Yes,CPIM,No,NA,NA
Ragil Saputro,Female,Hukum,Hukum Perdata,"Litigasi, Advokasi, Peradilan","Negosiasi, Mediasi, Komunikasi",6.66,Yes,PERADI,No,NA,NA
Dita Maharani,Female,Ilmu Komunikasi,Public Relations,"Digital Marketing, Social Media, Konten","Public Speaking, Media Relations, Canva",7.4,No,NA,No,NA,MA Jurnalistik
Citra Dewi,Female,Pertanian,Agribisnis,"Agribisnis, Wirausaha, Pasar Tani","Drone Pertanian, Smart Farming, IoT",6.22,No,,No,NA,Masters in Agronomy
Ulfah Rahmawati,Male,Manajemen,Manajemen Bisnis,"Keuangan, Investasi, Bisnis","MS Excel, Business Analysis, PowerPoint",7.12,Yes,PMP Certification,No,NA,MM Keuangan
Nina Kusuma,Female,Perkapalan,Teknik Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","AutoCAD, Maxsurf, Ship Design",9.36,Yes,Sertifikasi IMO,Yes,Offshore Engineer,NA
Ulfah Rahmawati,Male,Manajemen,Manajemen Pemasaran,"SDM, Organisasi, Leadership","Financial Planning, Budgeting, Excel",8.21,No,NA,Yes,HR Manager,MM Keuangan
Ragil Saputro,Male,Peternakan,Nutrisi Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Manajemen Ternak, Kesehatan Hewan, Vaksinasi",6.51,No,NA,Yes,Peneliti Ternak,NA
Shinta Dewi,Male,Sastra Inggris,Penerjemahan,"Penerjemahan, Bahasa, Linguistik","Penerjemahan, Bahasa Inggris, Riset",6.79,No,NA,Yes,Interpreter,
Jeni Kurniawan,Female,BCA,Computer Applications,"Cybersecurity, Networking, Cloud","Python, Java, SQL",7.78,No,NA,Yes,,MCA
Zara Nabila,Male,BA,Sociology,"Public Policy, Law, Governance","Public Speaking, Leadership, Teamwork",6.32,Yes,Content Writing Certification,No,NA,NA
Yogi Permana,Female,Hukum,Hukum Internasional,"Litigasi, Advokasi, Peradilan","Negosiasi, Mediasi, Komunikasi",7.5,No,NA,Yes,Legal Officer,Masters in Law
Tegar Wicaksono,Male,Manajemen,Manajemen Bisnis,"SDM, Organisasi, Leadership","Marketing, Branding, Social Media",6.89,Yes,CFA Level 1,Yes,Business Analyst,MM Keuangan
Vina Melati,Male,Hubungan Internasional,Organisasi Internasional,"Perdagangan Internasional, Ekonomi Global","Bahasa Inggris, Bahasa Asing, Negosiasi",9.29,Yes,NA,Yes,Diplomat,Masters in International Relations
Putri Ayu,Male,B.Tech,Mechanical,"IoT, Embedded Systems, Robotics","TensorFlow, PyTorch, Machine Learning",6.89,No,,Yes,IoT Developer,
Yoga Aditya,Male,Perkapalan,Teknik Sistem Perkapalan,"Offshore, Migas, Industri Maritim","AutoCAD, Maxsurf, Ship Design",7.88,No,NA,No,NA,NA
Evan Setiawan,Male,Hukum,Hukum Bisnis,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",7.93,Yes,PERADI,No,NA,
Ragil Saputro,Female,Perkapalan,Konstruksi Kapal,"Sistem Perkapalan, Mekanikal, Elektrikal","Solidworks, ANSYS, Analisis Struktur",6.06,Yes,NA,Yes,Surveyor Kapal,NA
Evan Setiawan,Male,BCA,Computer Applications,"Programming, Web Development, Software","JavaScript, HTML, CSS, React",7.06,Yes,,Yes,Mobile Developer,
Eko Wahyudi,Male,Kedokteran,Kedokteran Gigi,"Bedah, Operasi, Spesialis","Tindakan Medis, Jahit Luka, Infus",9.63,No,NA,No,NA,NA
Eko Wahyudi,Male,Akuntansi,Audit,"Audit, Compliance, Internal Control","MS Excel, Pivot, Financial Reporting",6.83,Yes,CPA,No,,NA
Krisna Bayu,Female,Perikanan,Sosial Ekonomi Perikanan,"Pengolahan Ikan, Teknologi Pangan","Budidaya Ikan, Kualitas Air, Pakan",8.86,Yes,NA,No,NA,Masters in Aquaculture
Mohammad Rizki,Male,Kedokteran,Spesialis Anak,"Klinik, Pasien, Diagnosis","Diagnosis, Anamnesis, Pemeriksaan Fisik",7.36,Yes,ATLS,Yes,Dokter Puskesmas,Spesialis Penyakit Dalam
Reza Mahendra,Female,Sistem Informasi,Enterprise System,"Database, Data Management, BI","Python, Tableau, Power BI, SQL",6.03,Yes,SAP Certified,Yes,Database Administrator,NA
Fara Aulia,Female,Teknik Elektro,Telekomunikasi,"Telekomunikasi, Jaringan, RF","AutoCAD Electrical, ETAP, MATLAB",8.25,No,NA,Yes,Telecom Engineer,Masters in Telecommunication
Vina Melati,Male,Hukum,Hukum Perdata,"Hukum Bisnis, Kontrak, Korporasi","Legal Drafting, Analisis Hukum, Riset",7.2,Yes,NA,Yes,Pengacara,NA
Cahyo Wibowo,Male,Ilmu Komunikasi,Jurnalistik,"Digital Marketing, Social Media, Konten","Social Media, Content Creation, SEO",8.28,Yes,NA,Yes,Content Creator,Masters in Communication
Xena Pratiwi,Female,Manajemen,Manajemen Bisnis,"Bisnis, Pemasaran, Strategi","Financial Planning, Budgeting, Excel",6.56,No,NA,Yes,,NA
Hesti Ratnasari,Female,Kedokteran,Spesialis Bedah,"Penelitian Medis, Farmakologi","Tindakan Medis, Jahit Luka, Infus",8.2,No,NA,Yes,Dokter Gigi,NA
Vino Pratama,Male,Kedokteran,Spesialis Anak,"Bedah, Operasi, Spesialis","Tindakan Medis, Jahit Luka, Infus",9.28,No,NA,Yes,Peneliti Medis,NA
Leni Susanti,Female,Hukum,Hukum Bisnis,"Litigasi, Advokasi, Peradilan","MS Word, Legal Research, Presentasi",9.0,No,,No,,Masters in Law
Irfan Maulana,Female,Teknik Elektro,Tenaga Listrik,"Telekomunikasi, Jaringan, RF","PLC, SCADA, Otomasi, Siemens",9.11,No,NA,Yes,IoT Engineer,Masters in Electrical Engineering
Irfan Maulana,Male,Ilmu Komunikasi,Public Relations,"Jurnalistik, Media, Penulisan Berita","Public Speaking, Media Relations, Canva",8.67,No,NA,No,NA,NA
Tegar Wicaksono,Female,Pertanian,Ilmu Tanah,"Agribisnis, Wirausaha, Pasar Tani","Agribisnis, Manajemen Usaha Tani",8.8,Yes,GIS Certification,Yes,Penyuluh Pertanian,Masters in Agronomy
Eko Wahyudi,Male,Sistem Informasi,Manajemen Sistem Informasi,"IT Project Management, Konsultasi","SQL, SAP, Business Analysis, Excel",9.04,Yes,CBAP,Yes,System Analyst,MBA IT
Hesti Ratnasari,Female,Teknik Industri,Manajemen Operasi,"Supply Chain, Logistik, Operasional","Analisis Data, Minitab, SPSS",7.21,No,NA,Yes,,NA
Eko Wahyudi,Female,Akuntansi,Perpajakan,"Keuangan, Investasi, Pasar Modal","MS Excel, Pivot, Financial Reporting",6.68,No,NA,No,,NA
